SITEID,SITEID,STATE,MAJOR_FLOOD,FLOW_PEAK_LOGPEARSON3-Q100-SURPRISE[adim],VOL_120H_LOGPEARSON3-Q100-SURPRISE[adim],VOL_240H_LOGPEARSON3-Q100-SURPRISE[adim],diff
G8140538,1,1,1,0,0,0,0
G8150010,2,2,2,2,2,1,0
G8150180,2,2,2,2,2,1,0
G8170002,3,3,3,3,2,2,0
G8170005,2,2,2,0,0,0,0
G8170008,1,1,1,1,0,0,0
G8170075,2,2,2,2,1,1,0
G8170084,2,2,2,2,1,2,0
G9030176,4,4,4,3,3,3,0
G8140042,2,2,2,2,1,1,0
G8140011,3,3,3,3,2,2,0
A4260558,2,2,2,2,0,0,0
G8140001,6,6,6,6,4,3,0
A4261099,1,1,1,1,1,0,0
A5010503,1,1,1,1,0,0,0
A5031001,2,2,2,2,0,0,0
A5040512,2,2,2,2,0,0,0
A5050502,2,2,2,2,1,0,0
A5050504,1,1,1,1,1,0,0
A5050517,2,2,2,2,1,0,0
A5050532,1,1,1,1,0,0,0
A5050533,2,2,2,2,1,0,0
A5050535,2,2,2,2,0,0,0
A5070503,1,1,1,1,1,0,0
A5120503,1,1,1,1,0,0,0
A5131007,1,1,1,1,0,0,0
A5131014,1,1,1,1,1,0,0
G0050116,1,1,1,1,1,1,0
G0060126,1,1,1,1,1,1,0
G8100106,1,1,1,1,0,0,0
G8100225,2,2,2,2,2,1,0
G8110004,3,3,3,1,1,1,0
G8110006,3,3,3,2,2,2,0
G8110007,3,3,3,2,2,1,0
G8110016,3,3,3,3,3,2,0
G8110107,1,1,1,1,0,0,0
802055,3,3,3,3,3,3,0
802006,2,2,2,2,2,2,0
802004,1,1,1,1,1,1,0
215004,6,6,6,3,2,2,0
215014,4,4,4,4,3,3,0
215018,1,1,1,1,1,0,0
215019,1,1,1,1,0,0,0
215207,6,6,6,6,5,5,0
215208,3,3,3,3,2,2,0
215209,4,4,4,4,4,4,0
215210,5,5,5,4,2,2,0
215220,5,5,5,5,4,4,0
215233,5,5,5,5,2,3,0
215237,1,1,1,1,0,0,0
215238,3,3,3,3,3,3,0
215241,2,2,2,2,2,2,0
215242,3,3,3,3,1,1,0
216002,5,5,5,5,2,2,0
216004,8,8,8,7,4,2,0
216009,4,4,4,3,3,2,0
217002,5,5,5,5,4,4,0
217007,1,1,1,1,1,1,0
218001,4,4,4,4,1,1,0
218002,1,1,1,1,1,1,0
218003,1,1,1,1,0,0,0
218005,5,5,5,5,4,4,0
218006,1,1,1,1,1,1,0
215008,4,4,4,4,3,3,0
215002,3,3,3,3,3,3,0
218008,4,4,4,4,4,4,0
214010,2,2,2,2,0,0,0
212054,3,3,3,3,3,2,0
2122003,3,3,3,3,0,0,0
2122051,3,3,3,3,2,2,0
2122052,3,3,3,3,1,1,0
212209,6,6,6,6,4,5,0
212219,2,2,2,2,2,2,0
2122205,2,2,2,2,0,0,0
212228,3,3,3,3,2,2,0
2122322,3,3,3,3,2,1,0
2122323,2,2,2,2,0,0,0
212244,3,3,3,3,3,3,0
212250,6,6,6,6,6,6,0
