#--------------------------------------------------------------------------------
# DISCLAIMER: DATA CONTAINED IN THIS FILE HAS BEEN PREPARED IN THE CONTEXT OF A RESEARCH PROJECT. IT MAY NOT BE ACCURATE AND IS SUBJECT TO CHANGE.
# USE THIS DATA AT YOUR OWN RISK.
#--------------------------------------------------------------------------------
# Author : Julien Lerat, CSIRO Environment
# Reference : Lerat and Vaze (2025), When the impossible flood happens: how February 2022 redefines extreme floods in Australia. Communications Earth and Environment
# Version : 5
# Date : 2025-04-13 16:46:08.517509
# Source file : DATA_prepare_flood_data.py
#--------------------------------------------------------------------------------
# Description : Information on gauging stations
#--------------------------------------------------------------------------------
#
STATIONID,LONGITUDE[deg],LATITUDE[deg],CATCHMENTAREA[km2],STATE,NAME
14214-1,145.11913,-40.87169,358.0,TAS,DUCK RIVER US SCOTCHTOWN ROAD BRIDGE
14215-1,145.6096,-40.96782,152.0,TAS,FLOWERDALE RIVER AT MOORLEAH
14220-1,145.76686,-41.01105,,TAS,SEABROOK CREEK US BASS HIGHWAY
142201,152.95944,-27.34361,178.0,QLD,South Pine River At Cashs Crossing
142202,152.92375,-27.34644,156.0,QLD,South Pine River At Drapers Crossing
14223-1,144.75564,-40.7778,,TAS,WELCOME RIVER AT WOOLNORTH
14237-1,146.21963,-41.16135,49.6,TAS,CLAYTONS RIVULET US BASS HIGHWAY
14261-1,145.96352,-41.06886,21.1,TAS,CHASM CREEK US BASS HIGHWAY
143007,152.273,-26.8042,2009.0,QLD,Brisbane River At Linville
143114,152.80167,-27.60389,110.0,QLD,Bundamba Creek At Mary Street
143204,152.3416,-27.5336,1655.0,QLD,Lockyer Creek At Wilsons Weir
143303,152.84158,-26.83851,104.0,QLD,Stanley R At Peachester
143312,152.57952,-26.92101,131.0,QLD,Kilcoy Ck At D/S Kilcoy Weir
143901,152.76139,-26.93577,249.0,QLD,Stanley River At Woodford
144003,153.48917,-27.535,15.6,QLD,Blue Lake At Outflow
145010,152.8907,-28.2453,128.0,QLD,Running Ck At Dieckmans Bridge
145011,152.57005,-28.14805,83.0,QLD,Teviot Brook At Croftby
145013,152.98167,-28.17194,157.0,QLD,Christmas Creek At Rudds Lane
145018,152.60845,-28.21965,82.0,QLD,Burnett Ck At Upstream Maroon Dam
145026,152.97173,-28.14887,166.0,QLD,Christmas Creek At Tramway Lane
145027,152.83961,-28.24753,95.0,QLD,Palen Creek At Ward Road
145031,152.73982,-27.95429,421.0,QLD,Teviot Brook At Coulson
145101,153.04458,-28.05421,169.0,QLD,Albert River At Lumeah Number 2
145102,153.1065,-27.90915,544.0,QLD,Albert River At Bromfleet
145104,153.11611,-28.05806,76.0,QLD,Canungra Creek At Ds Sarabah Bridge
145107,153.15834,-27.99762,101.0,QLD,Canungra Creek At Main Road Bridge
145196,153.18972,-27.78306,722.0,QLD,Albert River At Wolffdene
146003,153.41167,-28.19972,24.0,QLD,Currumbin Creek At Camberra Number 2
146007,153.40222,-28.14556,57.0,QLD,Tallebudgera Creek At Pump House
146010,153.19278,-28.02583,88.0,QLD,Coomera River At Army Camp
146011,153.25944,-28.09167,122.0,QLD,Nerang River Whipbird
146012,153.4237,-28.1787,30.0,QLD,Currumbin Creek At Nicolls Bridge
146015,153.22611,-28.14917,68.0,QLD,Nerang River At Numinbah
146020,153.35,-28.08528,36.0,QLD,Mudgeeraba Creek At Springbrook Road
146095,153.4025,-28.1497,56.0,QLD,Tallebudgera Creek At Tallebudgera Creek Road
150-1,147.56539,-41.81579,,TAS,SOUTH ESK RIVER AT LLEWELLYN
16200-1,146.31441,-41.19127,128.0,TAS,DON RIVER US BASS HIGHWAY
16201-1,146.39679,-41.69705,,TAS,FISHER RIVER U/S L.MACKENZIE
17200-1,146.56513,-41.24827,,TAS,RUBICON RIVER AT TIDAL LIMIT
17203-1,146.56504,-41.45182,,TAS,RUBICON RIVER AT ELIZABETH TOWN
17204-1,146.53587,-41.18015,,TAS,PANATANA RIVULET US TIDAL LIMIT
181-1,147.20409,-41.59713,,TAS,SOUTH ESK RIVER AT PERTH
18209-1,146.95159,-41.6342,,TAS,LIFFEY RIVER US WEST CHANNEL
18217-1,147.60304,-42.18048,,TAS,MACQUARIE RIVER AT TREFUSIS
18219-1,147.0995,-41.61713,,TAS,BACK CREEK US WILMORES LANE
18221-1,146.6565,-41.67381,29.2,TAS,JACKEYS CREEK DS JACKEYS MARSH
18311-1,147.7299,-41.78742,,TAS,ST PAULS RIVER US SOUTH ESK RIVER
18312-1,147.39025,-41.9114,,TAS,MACQUARIE RIVER DS ELIZABETH RIVER
18313-1,147.42467,-41.93069,,TAS,MACQUARIE RIVER 1.25KM US ELIZABETH RIVER
191-1,148.07095,-41.59151,186.2,TAS,BREAK O'DAY RIVER AT KILLYMOON BRIDGE
19200-1,147.37254,-41.02099,138.6,TAS,BRID RIVER US TIDAL LIMIT
19201-1,147.61233,-41.11243,191.5,TAS,GREAT FORESTER RIVER 2KM US  FORESTER ROAD BRIDGE
19202-1,147.75241,-40.89151,,TAS,TOMAHAWK RIVER US TIDAL LIMIT
19203-1,147.47553,-41.1848,37.8,TAS,BRID RIVER US SLEDGE TRACK BRIDGE
19204-1,147.11427,-41.06711,,TAS,PIPERS RIVER DS YARROW CREEK
19206-1,147.33119,-41.10423,,TAS,LITTLE FORESTER RIVER DS DENISON RIVER
19209-1,147.81455,-40.97736,111.4,TAS,BOOBYALLA RIVER US CAMPBELL CREEK
19224-1,147.56195,-41.2059,65.0,TAS,GREAT FORESTER RIVER AT PROSPERITY ROAD
201001,153.29295,-28.35399,213.0,NSW,Oxley River At Eungella
201005,153.33589,-28.30956,111.0,NSW,Rous River At Boat Harbour No.3
201015,153.29216,-28.43398,156.202,NSW,Tweed River D/S Palmers Road Crossing
201900,153.33493,-28.41352,275.0,NSW,Tweed River At Uki
202001,153.45818,-28.53117,34.0,NSW,Brunswick River At Durrumbul (Sherrys Crossing)
202002,153.47688,-28.43773,,NSW,Burringbar Creek At Burringbar
203002,153.41259,-28.64129,62.0,NSW,Coopers Creek At Repentance
203004,153.05543,-28.86403,1790.0,NSW,Richmond River At Casino
203005,152.96709,-28.50551,702.0,NSW,Richmond River At Wiangaree
203010,153.16324,-28.7364,179.0,NSW,Leycester River At Rock Valley
203012,153.4979,-28.70661,39.0,NSW,Byron Creek At Binna Burra
203014,153.39483,-28.75557,223.0,NSW,Wilsons River At Eltham
203022,153.2611,-28.6958,156.0,NSW,Terania Creek At Keerong
203024,153.36227,-28.72153,148.0,NSW,Coopers Creek At Ewing Bridge
203034,152.92402,-28.75691,581.0,NSW,Eden Creek At Doubtful
203056,152.89155,-28.45038,,NSW,Richmond River At Lavelles Road
203060,153.35183,-28.74601,,NSW,Coopers Creek At Fairmeadow
203061,153.22557,-28.73314,,NSW,Goolmangar Creek At Mcnamara Bridge Weir
203900,152.99484,-28.62104,899.0,NSW,Richmond River At Kyogle
204001,152.72568,-29.97815,1660.0,NSW,Nymboida River At Nymboida
204002,152.5675,-28.8868,4550.0,NSW,Clarence River At Tabulam
204004,152.54485,-29.5714,7800.0,NSW,Mann River At Jackadgery
204005,152.5891,-29.8344,5260.0,NSW,Nymboida River At Buccarumbi
204006,152.16947,-28.64463,127.0,NSW,Bookookoorara River At Undercliffe
204007,152.68343,-29.50734,16690.0,NSW,Clarence River At Lilydale (Newbold Crossing)
204008,152.3469,-30.4037,31.0,NSW,Guy Fawkes River At Ebor
204014,152.106,-29.6931,881.0,NSW,Mann River At Mitchell
204015,152.3171,-29.8394,2670.0,NSW,Boyd River At Broadmeadows
204016,152.6561,-30.2773,104.0,NSW,Little Murray River At North Dorrigo
204017,152.71456,-30.30499,76.0,NSW,Bielsdown Creek At Dorrigo No.2 & No.3
204019,152.6051,-30.2526,220.0,NSW,Nymboida River At Bostobrick
204025,153.0333,-30.25276,135.0,NSW,Orara River At Karangi
204026,152.848,-30.2495,80.0,NSW,Bobo River At Bobo Nursery
204027,152.8717,-30.2195,34.0,NSW,Little Nymboida River At Timmsvale
204030,152.0094,-30.2587,200.0,NSW,Aberfoyle River At Aberfoyle
204031,151.8462,-29.7209,348.0,NSW,Mann River At Shannon Vale
204037,152.6293,-30.09207,62.0,NSW,Clouds Creek At Clouds Creek
204039,152.19876,-28.46634,373.0,NSW,Maryland River D/S Wylie Creek
204041,152.80993,-29.72169,1790.0,NSW,Orara River At Bawden Bridge
204046,152.38605,-29.05473,1720.0,NSW,Timbarra River At Drake
204051,152.41982,-28.71982,2230.0,NSW,Clarence River At Paddys Flat
204055,152.98272,-29.46521,202.0,NSW,Sportsmans Creek At Gurranang Siding
204056,152.44684,-29.48483,104.0,NSW,Dandahra Creek At Gibraltar Range
204060,153.0954,-30.2121,22.0,NSW,Bucca Creek At Central Bucca
204067,152.65391,-29.40164,315.0,NSW,Gordon Brook At Fineflower
204068,153.01128,-30.25763,126.0,NSW,Orara River At Orange Grove
204069,152.68613,-29.92156,1732.0,NSW,Nymboida River D/S Nymboida Weir
204900,152.59319,-29.19611,7490.0,NSW,Clarence River At Baryulgil
205002,152.77963,-30.42678,433.0,NSW,Bellinger River At Thora
205006,152.856,-30.6405,431.0,NSW,Nambucca River At Bowraville
205007,153.1641,-30.1168,11.0,NSW,Woolgoolga Creek At Woolgoolga
205008,152.7744,-30.7387,319.0,NSW,Taylors Arm At Grays Crossing
205015,152.8496,-30.6288,250.0,NSW,Nambucca River (North Arm) U/S Bowraville
205016,152.8852,-30.4417,642.0,NSW,Bellinger River At Fosters
205017,152.69693,-30.7833,,NSW,Taylors Arm At Upper Taylors Arm
205018,152.846,-30.64838,,NSW,South Creek At Bowraville
206001,152.1634,-30.5885,163.0,NSW,Styx River At Jeogla
206008,151.73927,-30.56642,362.0,NSW,Commissioners Waters At Tiverton (Eathorpe)
206009,151.8302,-31.1862,261.0,NSW,Tia River At Tia
206011,152.7125,-31.00762,9980.0,NSW,Macleay River At Turners Flat
206014,152.02703,-30.47566,376.0,NSW,Wollomombi River At Coninside
206017,152.32,-30.4761,22.0,NSW,Serpentine Creek At Causeway (Hatchery)
206018,151.7691,-31.0504,894.0,NSW,Apsley River At Apsley Falls
206020,152.3,-30.5188,78.0,NSW,Styx River At Serpentine (Hyatts Flat)
206024,152.2054,-30.7517,7930.0,NSW,Macleay River At D/S Georges River Junction
206025,151.7144,-30.6795,594.0,NSW,Salisbury Waters Near Dangar Falls
206032,151.65571,-30.51092,92.0,NSW,Dumaresq Creek At Stephens Bridge
206035,151.72673,-30.21116,121.0,NSW,Gara River At Willow Glen
206038,151.7053,-30.2597,16.6,NSW,Urandangie Creek At Urandangie
207004,152.47145,-31.42247,1610.0,NSW,Hastings River At Ellenborough (Kindee Bridge)
207008,152.63897,-31.72531,86.0,NSW,Stewarts River At Stewarts River
207009,152.69355,-31.61435,181.0,NSW,Camden Haven River At Kendall (Logans Crossing)
207010,152.59442,-31.42114,241.0,NSW,Pappinbarra River At Beechwood
207012,152.2197,-31.5067,65.0,NSW,Doyles River At Doyles River Road
207013,152.44959,-31.4792,515.0,NSW,Ellenborough River At D/S Bunnoo River Junction
207014,152.74057,-31.3315,505.0,NSW,Wilson River At Avenel
207015,152.24253,-31.36835,342.0,NSW,Hastings River At Mount Seaview
