# --------------------------------------------------
# nrow : 456
# ncol : 1
# description : Streamflow data time series for site 203014 extracted from WaterNSW website (https://realtimedata.waternsw.com.au/)
# reference : Lerat and Vaze (2025), Communication Earth and Environment, submitted
# time_generated : 2025-02-26 17:00:42
# author : Julien Lerat, CSIRO Enviromment
# source_file : DATA_prepare_streamflow_data.py
# --------------------------------------------------
TIME,STREAMFLOW[m3/sec]
2022-03-09 01:00:00,16.82069
2022-03-09 02:00:00,16.73618
2022-03-09 03:00:00,16.63772
2022-03-09 04:00:00,16.57030
2022-03-09 05:00:00,16.48753
2022-03-09 06:00:00,16.43850
2022-03-09 07:00:00,16.36431
2022-03-09 08:00:00,16.29301
2022-03-09 09:00:00,16.22459
2022-03-09 10:00:00,16.18274
2022-03-09 11:00:00,16.14231
2022-03-09 12:00:00,16.08382
2022-03-09 13:00:00,16.00590
2022-03-09 14:00:00,15.94477
2022-03-09 15:00:00,15.87538
2022-03-09 16:00:00,15.80191
2022-03-09 17:00:00,15.98067
2022-03-09 18:00:00,18.41688
2022-03-09 19:00:00,21.83538
2022-03-09 20:00:00,23.76346
2022-03-09 21:00:00,24.61148
2022-03-09 22:00:00,25.13927
2022-03-09 23:00:00,25.71513
2022-03-10 00:00:00,26.53588
2022-03-10 01:00:00,27.47003
2022-03-10 02:00:00,28.42567
2022-03-10 03:00:00,29.49920
2022-03-10 04:00:00,30.39628
2022-03-10 05:00:00,31.07345
2022-03-10 06:00:00,31.48303
2022-03-10 07:00:00,31.59749
2022-03-10 08:00:00,31.47263
2022-03-10 09:00:00,31.03642
2022-03-10 10:00:00,30.31957
2022-03-10 11:00:00,29.41709
2022-03-10 12:00:00,28.37769
2022-03-10 13:00:00,27.25808
2022-03-10 14:00:00,26.08508
2022-03-10 15:00:00,24.96671
2022-03-10 16:00:00,23.90223
2022-03-10 17:00:00,22.91005
2022-03-10 18:00:00,22.01498
2022-03-10 19:00:00,21.19475
2022-03-10 20:00:00,20.42863
2022-03-10 21:00:00,19.75170
2022-03-10 22:00:00,19.16583
2022-03-10 23:00:00,18.67640
