# --------------------------------------------------
# nrow : 456
# ncol : 1
# description : Streamflow data time series for site 203402 extracted from WaterNSW website (https://realtimedata.waternsw.com.au/)
# reference : Lerat and Vaze (2025), Communication Earth and Environment, submitted
# time_generated : 2025-02-26 17:00:43
# author : Julien Lerat, CSIRO Enviromment
# source_file : DATA_prepare_streamflow_data.py
# --------------------------------------------------
TIME,WATERLEVEL_AHD[m]
2022-03-09 05:00:00,2.14375
2022-03-09 06:00:00,2.12787
2022-03-09 07:00:00,2.11200
2022-03-09 08:00:00,2.09438
2022-03-09 09:00:00,2.07875
2022-03-09 10:00:00,2.06063
2022-03-09 11:00:00,2.04125
2022-03-09 12:00:00,2.02187
2022-03-09 13:00:00,2.00250
2022-03-09 14:00:00,1.98413
2022-03-09 15:00:00,1.96625
2022-03-09 16:00:00,1.95163
2022-03-09 17:00:00,1.95300
2022-03-09 18:00:00,1.95888
2022-03-09 19:00:00,1.94825
2022-03-09 20:00:00,1.93787
2022-03-09 21:00:00,1.93525
2022-03-09 22:00:00,1.93700
2022-03-09 23:00:00,1.94137
2022-03-10 00:00:00,1.94862
2022-03-10 01:00:00,1.95862
2022-03-10 02:00:00,1.96900
2022-03-10 03:00:00,1.98438
2022-03-10 04:00:00,1.99713
2022-03-10 05:00:00,2.00975
2022-03-10 06:00:00,2.02113
2022-03-10 07:00:00,2.03387
2022-03-10 08:00:00,2.03825
2022-03-10 09:00:00,2.03575
2022-03-10 10:00:00,2.02875
2022-03-10 11:00:00,2.02025
2022-03-10 12:00:00,2.00663
2022-03-10 13:00:00,1.98750
2022-03-10 14:00:00,1.96787
2022-03-10 15:00:00,1.94275
2022-03-10 16:00:00,1.91600
2022-03-10 17:00:00,1.88863
2022-03-10 18:00:00,1.85837
2022-03-10 19:00:00,1.82600
2022-03-10 20:00:00,1.79325
2022-03-10 21:00:00,1.76025
2022-03-10 22:00:00,1.72750
2022-03-10 23:00:00,1.69487
